id,name,category,description
1,Wireless Bluetooth Earbuds,Electronics,"Compact true-wireless earbuds with active noise cancellation, 30-hour battery life, and touch controls. Great for workouts and daily commutes."
2,4K Ultra HD Smart TV 55-inch,Electronics,"Crystal-clear 55-inch smart television with HDR support, built-in streaming apps, and voice remote control for a cinematic home experience."
3,Portable Power Bank 20000mAh,Electronics,"High-capacity battery pack that charges phones and tablets multiple times on a single charge, with fast-charging USB-C output."
4,Mechanical Gaming Keyboard,Electronics,"RGB backlit keyboard with tactile mechanical switches, anti-ghosting, and durable aluminum frame built for competitive gaming."
5,Noise Cancelling Over-Ear Headphones,Electronics,"Premium over-ear headphones that block outside noise, deliver rich bass, and offer 40 hours of playback for travel and focus."
6,Smartwatch with Heart Rate Monitor,Electronics,"Fitness-focused smartwatch tracking heart rate, sleep, steps, and workouts, with smartphone notifications on a bright touchscreen."
7,Budget Smartphone 128GB,Electronics,"Affordable smartphone with a large display, dual camera, all-day battery, and enough storage for photos, apps, and videos."
8,Flagship Smartphone Pro,Electronics,"Top-tier smartphone featuring a pro-grade camera system, blazing-fast processor, and edge-to-edge OLED display for power users."
9,Wireless Charging Pad,Electronics,Slim charging pad that powers up compatible phones and earbuds simply by placing them on the non-slip surface.
10,USB-C Multiport Adapter,Electronics,"Compact hub adding HDMI, USB-A, SD card, and Ethernet ports to laptops that only have USB-C connections."
11,Portable Bluetooth Speaker,Electronics,"Waterproof speaker delivering punchy 360-degree sound, perfect for beach trips, pool parties, and outdoor gatherings."
12,Digital Air Fryer Oven,Home & Kitchen,"Countertop oven that fries, bakes, roasts, and reheats with little to no oil, using rapid hot-air circulation for crispy results."
13,Robot Vacuum Cleaner,Home & Kitchen,"Self-navigating robotic vacuum that maps your home, avoids obstacles, and empties dust automatically for hands-free cleaning."
14,Stainless Steel Cookware Set,Home & Kitchen,"10-piece pot and pan set with even heat distribution, comfortable handles, and a durable non-stick coating for everyday cooking."
15,Programmable Coffee Maker,Home & Kitchen,"Drip coffee machine with a built-in timer, keep-warm plate, and reusable filter for freshly brewed coffee every morning."
16,Memory Foam Mattress Queen,Home & Kitchen,"Pressure-relieving queen mattress that contours to your body and stays cool through the night, easing back pain and restlessness."
17,Blackout Curtains Set,Home & Kitchen,"Thick thermal curtains that block sunlight, reduce outside noise, and help keep bedrooms cool and dark for better sleep."
18,Cordless Stick Vacuum,Home & Kitchen,"Lightweight, bagless vacuum with strong suction that converts into a handheld for stairs, cars, and tight corners."
19,Nonstick Ceramic Frying Pan,Home & Kitchen,"Scratch-resistant frying pan with an even-heating base, ideal for cooking eggs, pancakes, and delicate fish without sticking."
20,Electric Kettle 1.7L,Home & Kitchen,"Fast-boiling kettle with auto shut-off and a concealed heating element, perfect for tea, instant noodles, and hot drinks."
21,Air Purifier for Large Rooms,Home & Kitchen,"HEPA air purifier that removes dust, pollen, smoke, and pet dander, quietly improving air quality in bedrooms and living rooms."
22,Adjustable Standing Desk,Furniture,"Electric sit-stand desk that switches between sitting and standing heights at the touch of a button, easing back and neck strain."
23,Ergonomic Office Chair,Furniture,"Mesh-back office chair with lumbar support and adjustable armrests, designed for all-day comfort during long work sessions."
24,Solid Wood Bookshelf,Furniture,"Five-tier bookshelf made of solid wood, offering sturdy storage for books, plants, and decorative items in any living room."
25,Foldable Study Table,Furniture,"Space-saving folding table that sets up in seconds, great for small apartments, dorm rooms, and remote work corners."
26,Reclining Sofa Set,Furniture,"Plush three-seater sofa with built-in recliners and cup holders, upholstered in easy-to-clean fabric for family movie nights."
27,Running Shoes for Men,Sports & Outdoors,Lightweight running shoes with breathable mesh uppers and cushioned soles that absorb impact on long-distance runs.
28,Yoga Mat Non-Slip,Sports & Outdoors,"Extra-thick yoga mat with a textured surface for grip during sweaty sessions, easy to roll up and carry to the studio."
29,Adjustable Dumbbell Set,Sports & Outdoors,"Space-saving dumbbells that adjust from light to heavy weights with a quick dial, replacing an entire rack at home."
30,Camping Tent 4-Person,Sports & Outdoors,"Weatherproof tent that sets up in minutes, sleeping up to four people comfortably on weekend hikes and family camping trips."
31,Insulated Water Bottle 1L,Sports & Outdoors,"Double-wall stainless steel bottle that keeps drinks cold for 24 hours or hot for 12, ideal for gym, hiking, or the office."
32,Mountain Bike 21-Speed,Sports & Outdoors,"Durable off-road bicycle with front suspension and reliable gear shifting, built to handle trails, hills, and rough terrain."
33,Resistance Bands Set,Sports & Outdoors,"Set of five resistance bands for strength training, stretching, and physical therapy, easy to pack for home or travel workouts."
34,Basketball Official Size,Sports & Outdoors,Indoor-outdoor basketball with a durable rubber cover and deep grooves for confident grip during pickup games.
35,Swimming Goggles Anti-Fog,Sports & Outdoors,"Leak-proof swim goggles with anti-fog coating and UV protection, offering a comfortable seal for laps and open water swims."
36,Men's Winter Puffer Jacket,Clothing,"Warm, lightweight jacket filled with synthetic insulation, windproof shell, and a hood, built to handle freezing winter days."
37,Women's Running Leggings,Clothing,"Sweat-wicking, four-way stretch leggings with a hidden pocket, designed to move with you through runs and gym sessions."
38,Classic Denim Jacket,Clothing,"Timeless cotton denim jacket that layers easily over t-shirts and hoodies, a wardrobe staple for casual outfits."
39,Men's Formal Dress Shirt,Clothing,"Wrinkle-resistant cotton dress shirt with a tailored fit, suitable for office wear, interviews, and formal occasions."
40,Women's Summer Sundress,Clothing,"Breathable, flowy sundress in a floral print, perfect for warm weather outings, beach vacations, and casual brunches."
41,Waterproof Hiking Boots,Clothing,"Sturdy boots with waterproof membranes and grippy soles, keeping feet dry and stable on muddy or rocky trails."
42,Kids' Rain Jacket,Clothing,"Lightweight, waterproof jacket for children with a snug hood, keeping them dry on rainy school days and outdoor play."
43,Men's Slim Fit Jeans,Clothing,"Stretch denim jeans with a modern slim cut, comfortable enough for all-day wear while still looking sharp."
44,Wool Blend Winter Scarf,Clothing,"Soft, cozy scarf that adds warmth and style to any winter outfit, resistant to pilling after repeated wear."
45,Thermal Base Layer Set,Clothing,"Moisture-wicking thermal top and bottom set, worn under regular clothes to trap body heat during cold-weather activities."
46,Vitamin C Face Serum,Beauty & Personal Care,"Brightening facial serum that fades dark spots and evens skin tone, absorbed quickly without leaving a greasy residue."
47,Electric Hair Dryer,Beauty & Personal Care,"Fast-drying hairdryer with multiple heat settings and a cool-shot button, reducing frizz while protecting hair from damage."
48,Moisturizing Body Lotion,Beauty & Personal Care,"Rich, fast-absorbing lotion that hydrates dry skin for 24 hours, formulated with shea butter and no greasy after-feel."
49,Electric Toothbrush Rechargeable,Beauty & Personal Care,"Sonic toothbrush with multiple cleaning modes and a built-in timer, removing more plaque than manual brushing."
50,Anti-Aging Night Cream,Beauty & Personal Care,"Nourishing night cream that reduces the appearance of fine lines and wrinkles while you sleep, leaving skin soft by morning."
51,Natural Deodorant Stick,Beauty & Personal Care,"Aluminum-free deodorant that neutralizes odor all day using natural ingredients, gentle enough for sensitive skin."
52,Hair Straightener Ceramic Plates,Beauty & Personal Care,"Fast-heating flat iron with ceramic plates that glide smoothly through hair, creating sleek, frizz-free styles in minutes."
53,Sunscreen SPF 50 Lotion,Beauty & Personal Care,"Lightweight, non-greasy sunscreen that protects skin from harmful UV rays, suitable for daily use under makeup."
54,Kids' Building Blocks Set,Toys & Games,"500-piece colorful building block set that boosts creativity and fine motor skills, compatible with most major block brands."
55,Remote Control Racing Car,Toys & Games,"High-speed RC car with responsive steering and rechargeable battery, built tough for jumps and off-road racing fun."
56,Board Game for Family Night,Toys & Games,"Strategy board game for 2-6 players that combines luck and skill, perfect for family game nights and parties."
57,Educational Puzzle for Kids,Toys & Games,"100-piece jigsaw puzzle featuring bright animal illustrations, helping young children develop problem-solving skills."
58,Plush Teddy Bear Soft Toy,Toys & Games,"Extra-soft, huggable teddy bear made from plush fabric, a comforting companion and gift for children of all ages."
59,Kids' Art and Craft Kit,Toys & Games,"All-in-one craft kit with paints, brushes, and paper, encouraging creativity through drawing, coloring, and painting projects."
